Metro_Metro_Key,Metro_Zip_Key
"Rochester, NY","Rochester, NY"
"Syracuse, NY","Syracuse, NY"
"Baraboo, WI","Baraboo, WI"
"San Jose, CA","San Jose-Sunnyvale-Santa Clara, CA"
"Hartford, CT","Hartford-East Hartford-Middletown, CT"
"Buffalo, NY","Buffalo-Cheektowaga, NY"
"Batavia, NY","Batavia, NY"
"Parkersburg, WV","Parkersburg-Vienna, WV"
"Dixon, IL","Dixon, IL"
"Lewiston, ME","Lewiston-Auburn, ME"
"La Crosse, WI","La Crosse-Onalaska, WI-MN"
"Indiana, PA","Indiana, PA"
"Charleston, IL","Charleston-Mattoon, IL"
"Norwich, CT","Norwich-New London, CT"
"New York, NY","New York-Newark-Jersey City, NY-NJ-PA"
"Ottawa, KS","Ottawa, KS"
"Boston, MA","Boston-Cambridge-Newton, MA-NH"
"Manchester, NH","Manchester-Nashua, NH"
"New Philadelphia, OH","New Philadelphia-Dover, OH"
"Sheboygan, WI","Sheboygan, WI"
"Springfield, MA","Springfield, MA"
"Bridgeport, CT","Bridgeport-Stamford-Norwalk, CT"
"Worcester, MA","Worcester, MA-CT"
"Providence, RI","Providence-Warwick, RI-MA"
"Ann Arbor, MI","Ann Arbor, MI"
"Washington, DC","Washington-Arlington-Alexandria, DC-VA-MD-WV"
"Plattsburgh, NY","Plattsburgh, NY"
"Albany, NY","Albany-Schenectady-Troy, NY"
"Concord, NH","Concord, NH"
"Bloomington, IL","Bloomington, IL"
"Portland, ME","Portland-South Portland, ME"
"Trenton, NJ","Trenton-Princeton, NJ"
"Lancaster, PA","Lancaster, PA"
"Staunton, VA","Staunton, VA"
"Richmond, VA","Richmond, VA"
"Harrisonburg, VA","Harrisonburg, VA"
"Racine, WI","Racine, WI"
"New Haven, CT","New Haven-Milford, CT"
"Torrington, CT","Torrington, CT"
"San Francisco, CA","San Francisco-Oakland-Berkeley, CA"
"Lansing, MI","Lansing-East Lansing, MI"
"State College, PA","State College, PA"
"Los Alamos, NM","Los Alamos, NM"
"Gettysburg, PA","Gettysburg, PA"
"Jacksonville, IL","Jacksonville, IL"
"Pontiac, IL","Pontiac, IL"
"Janesville, WI","Janesville-Beloit, WI"
"Burlington, VT","Burlington-South Burlington, VT"
"Hobbs, NM","Hobbs, NM"
"Allentown, PA","Allentown-Bethlehem-Easton, PA-NJ"
"Cleveland, OH","Cleveland-Elyria, OH"
"Ithaca, NY","Ithaca, NY"
"Springfield, IL","Springfield, IL"
"Minneapolis, MN","Minneapolis-St. Paul-Bloomington, MN-WI"
"Binghamton, NY","Binghamton, NY"
,
"Sayre, PA","Sayre, PA"
"New Castle, PA","New Castle, PA"
"Sacramento, CA","Sacramento-Roseville-Folsom, CA"
"Wausau, WI","Wausau-Weston, WI"
"Cumberland, MD","Cumberland, MD-WV"
"Los Angeles, CA","Los Angeles-Long Beach-Anaheim, CA"
"Akron, OH","Akron, OH"
"Lebanon, PA","Lebanon, PA"
"Modesto, CA","Modesto, CA"
"Lincoln, IL","Lincoln, IL"
"Albert Lea, MN","Albert Lea, MN"
"Canton, OH","Canton-Massillon, OH"
"Williston, ND","Williston, ND"
"Jamestown, NY","Jamestown-Dunkirk-Fredonia, NY"
"Winona, MN","Winona, MN"
"Erie, PA","Erie, PA"
"Baltimore, MD","Baltimore-Columbia-Towson, MD"
"Owatonna, MN","Owatonna, MN"
"Reading, PA","Reading, PA"
"California, MD","California-Lexington Park, MD"
"Champaign, IL","Champaign-Urbana, IL"
"Charlottesville, VA","Charlottesville, VA"
"Chambersburg, PA","Chambersburg-Waynesboro, PA"
"Madison, WI","Madison, WI"
"Rockford, IL","Rockford, IL"
"York, PA","York-Hanover, PA"
"Bay City, MI","Bay City, MI"
"Bismarck, ND","Bismarck, ND"
"Stockton, CA","Stockton, CA"
"Elmira, NY","Elmira, NY"
"Somerset, PA","Somerset, PA"
"Yuba City, CA","Yuba City, CA"
"Freeport, IL","Freeport, IL"
"Harrisburg, PA","Harrisburg-Carlisle, PA"
"Oxnard, CA","Oxnard-Thousand Oaks-Ventura, CA"
"Riverside, CA","Riverside-San Bernardino-Ontario, CA"
"Chillicothe, OH","Chillicothe, OH"
"Hutchinson, MN","Hutchinson, MN"
"Philadelphia, PA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
