State,2020,2021,2022,2023,2024
Alabama,0.40%,0.40%,0.40%,0.40%,0.41%
Alaska,1.19%,1.19%,1.19%,1.24%,1.24%
Arizona,0.60%,0.60%,0.60%,0.60%,0.60%
Arkansas,0.61%,0.61%,0.61%,0.61%,0.66%
California,0.70%,0.70%,0.70%,0.70%,0.81%
Colorado,0.48%,0.48%,0.48%,0.48%,0.52%
Connecticut,2.14%,2.14%,2.14%,2.16%,2.16%
Delaware,0.43%,0.43%,0.43%,0.43%,0.62%
Florida,0.89%,0.89%,0.89%,0.89%,0.89%
Georgia,0.95%,0.95%,0.95%,0.95%,0.95%
Hawaii,0.27%,0.27%,0.27%,0.27%,0.29%
Idaho,0.63%,0.63%,0.63%,0.63%,0.63%
Illinois,2.05%,2.05%,2.05%,2.29%,2.29%
Indiana,0.83%,0.83%,0.83%,0.83%,0.83%
Iowa,1.53%,1.53%,1.53%,1.59%,1.59%
Kansas,1.28%,1.28%,1.28%,1.40%,1.40%
Kentucky,0.83%,0.83%,0.83%,0.89%,0.89%
Louisiana,0.56%,0.56%,0.56%,0.56%,0.62%
Maine,1.20%,1.20%,1.20%,1.29%,1.29%
Maryland,1.07%,1.07%,1.07%,1.07%,1.07%
Massachusetts,1.19%,1.19%,1.19%,1.19%,1.19%
Michigan,1.45%,1.45%,1.45%,1.53%,1.53%
Minnesota,1.10%,1.10%,1.10%,1.10%,1.10%
Mississippi,0.81%,0.81%,0.81%,0.81%,0.81%
Missouri,1.00%,1.00%,1.00%,1.00%,1.00%
Montana,0.83%,0.83%,0.83%,0.83%,0.83%
Nebraska,1.54%,1.54%,1.54%,1.70%,1.70%
Nevada,0.55%,0.55%,0.55%,0.55%,0.55%
New Hampshire,1.89%,1.89%,1.89%,2.09%,2.09%
New Jersey,2.13%,2.13%,2.13%,2.46%,2.46%
New Mexico,0.59%,0.59%,0.59%,0.59%,0.84%
New York,1.30%,1.30%,1.30%,1.73%,1.73%
North Carolina,0.80%,0.80%,0.80%,0.80%,0.80%
North Dakota,1.02%,1.02%,1.02%,1.02%,1.02%
Ohio,1.52%,1.52%,1.52%,1.57%,1.57%
Oklahoma,0.99%,0.99%,0.99%,0.99%,0.99%
Oregon,0.92%,0.92%,0.92%,0.92%,0.92%
Pennsylvania,1.43%,1.43%,1.43%,1.56%,1.56%
Rhode Island,1.37%,1.37%,1.37%,1.54%,1.54%
South Carolina,0.56%,0.56%,0.56%,0.56%,0.58%
South Dakota,1.14%,1.14%,1.14%,1.24%,1.24%
Tennessee,0.61%,0.61%,0.61%,0.61%,0.65%
Texas,1.60%,1.60%,1.60%,1.90%,1.90%
Utah,0.56%,0.56%,0.56%,0.56%,0.57%
Vermont,1.76%,1.76%,1.76%,1.89%,1.89%
Virginia,0.83%,0.83%,0.83%,0.83%,0.83%
Washington,0.93%,0.93%,0.93%,0.93%,0.93%
West Virginia,0.53%,0.53%,0.53%,0.53%,0.59%
Wisconsin,1.53%,1.53%,1.53%,1.71%,1.71%
Wyoming,0.51%,0.51%,0.51%,0.51%,0.61%
